0.000000	0.000000	0.009800
0.001000	0.000020	0.019598
0.002000	0.000039	0.029396
0.003000	0.000078	0.039192
0.004000	0.000118	0.048988
0.005000	0.000176	0.058782
0.006000	0.000235	0.068576
0.007000	0.000314	0.078368
0.008000	0.000392	0.088160
0.009000	0.000490	0.097949
0.010000	0.000588	0.107739
0.011000	0.000705	0.117527
0.012000	0.000823	0.127314
0.013000	0.000960	0.137100
0.014000	0.001097	0.146885
0.015000	0.001254	0.156668
0.016000	0.001410	0.166451
0.017000	0.001587	0.176232
0.018000	0.001763	0.186013
0.019000	0.001959	0.195791
0.020000	0.002154	0.205569
0.021000	0.002370	0.215346
0.022000	0.002585	0.225122
0.023000	0.002820	0.234896
0.024000	0.003055	0.244669
0.025000	0.003309	0.254441
0.026000	0.003564	0.264212
0.027000	0.003838	0.273981
0.028000	0.004112	0.283749
0.029000	0.004405	0.293516
0.030000	0.004699	0.303282
0.031000	0.005012	0.313046
0.032000	0.005325	0.322809
0.033000	0.005657	0.332570
0.034000	0.005990	0.342331
0.035000	0.006342	0.352090
0.036000	0.006694	0.361848
0.037000	0.007066	0.371604
0.038000	0.007437	0.381360
0.039000	0.007829	0.391113
0.040000	0.008220	0.400866
0.041000	0.008630	0.410616
0.042000	0.009041	0.420366
0.043000	0.009471	0.430114
0.044000	0.009901	0.439861
0.045000	0.010351	0.449606
0.046000	0.010800	0.459351
0.047000	0.011269	0.469093
0.048000	0.011738	0.478834
0.049000	0.012227	0.488574
0.050000	0.012716	0.498312
0.051000	0.013224	0.508049
0.052000	0.013732	0.517784
0.053000	0.014259	0.527518
0.054000	0.014787	0.537250
0.055000	0.015334	0.546981
0.056000	0.015881	0.556710
0.057000	0.016447	0.566437
0.058000	0.017014	0.576164
0.059000	0.017600	0.585888
0.060000	0.018185	0.595611
0.061000	0.018791	0.605333
0.062000	0.019396	0.615053
0.063000	0.020021	0.624771
0.064000	0.020646	0.634488
0.065000	0.021290	0.644203
0.066000	0.021934	0.653916
0.067000	0.022598	0.663628
0.068000	0.023261	0.673338
0.069000	0.023944	0.683047
0.070000	0.024627	0.692754
0.071000	0.025330	0.702459
0.072000	0.026032	0.712163
0.073000	0.026754	0.721865
0.074000	0.027476	0.731565
0.075000	0.028217	0.741263
0.076000	0.028959	0.750960
