,-111.82,-566.41,-54.504,31.738,-118.896,-261.92,253.92,-784.52,76.00
317.87,-102.54,-566.41,-72.571,33.508,-119.995,-265.05,244.54,-787.54,76.00
325.20,-108.40,-562.50,-69.092,34.790,-119.202,-244.71,230.46,-789.05,75.00
322.75,-103.03,-548.83,-68.298,38.025,-117.920,-263.48,242.97,-798.10,73.00
327.15,-95.21,-523.44,-67.566,36.438,-115.295,-255.66,225.76,-778.48,73.00
338.38,-102.54,-518.07,-56.702,32.227,-115.845,-254.09,255.49,-789.05,74.00
328.61,-105.96,-548.34,-64.331,32.776,-114.319,-254.09,255.49,-789.05,76.00
339.36,-100.10,-524.41,-73.792,34.302,-108.643,-263.48,249.23,-786.03,76.00
353.03,-126.95,-462.40,-121.094,38.574,-98.145,-277.56,238.28,-787.54,74.00
372.07,-128.91,-469.73,-59.387,19.531,-92.834,-286.95,247.67,-811.69,74.00
371.09,-191.89,-495.12,-130.249,13.672,-93.811,-294.77,246.10,-801.12,73.00
343.26,-172.85,-539.06,-76.477,13.367,-97.473,-305.72,257.05,-805.65,75.00
347.66,-259.77,-557.13,-98.328,20.386,-102.112,-324.50,263.31,-805.65,76.00
356.93,-208.01,-534.67,-75.806,26.794,-106.995,-324.50,247.67,-796.59,76.00
368.16,-203.61,-552.73,-66.284,26.733,-114.502,-332.32,264.88,-795.09,76.00
370.12,-198.73,-544.43,-62.134,33.875,-119.324,-332.32,252.36,-804.14,76.00
367.68,-137.21,-518.55,-71.472,36.926,-108.337,-335.45,255.49,-804.14,76.00
364.26,-220.21,-550.78,-69.214,33.569,-92.896,-338.58,249.23,-801.12,76.00
374.02,-239.75,-504.88,-77.148,40.344,-99.609,-341.71,246.10,-810.18,73.00
325.68,-274.41,-482.42,-76.294,44.434,-104.126,-346.40,228.89,-796.59,73.00
383.79,-291.99,-462.89,-69.763,36.743,-110.779,-338.58,236.71,-798.10,76.00
389.65,-295.90,-467.29,-65.918,37.048,-116.272,-341.71,233.59,-795.09,76.00
397.95,-275.39,-458.01,-66.528,35.767,-119.446,-338.58,224.20,-807.16,76.00
402.83,-266.11,-448.24,-61.035,32.043,-121.033,-357.35,236.71,-801.12,76.00
391.11,-262.70,-464.36,-61.951,31.738,-120.667,-349.53,225.76,-790.56,76.00
393.55,-263.18,-464.36,-60.791,32.898,-121.460,-357.35,239.84,-795.09,76.00
391.60,-269.53,-469.24,-63.049,34.668,-123.413,-349.53,238.28,-772.45,75.00
396.48,-232.42,-453.13,-63.477,35.156,-123.352,-347.97,242.97,-792.07,75.00
392.09,-242.19,-440.92,-62.622,35.583,-125.549,-357.35,236.71,-786.03,74.00
387.70,-223.14,-450.68,-64.148,32.837,-124.207,-343.27,241.41,-802.63,74.00
384.28,-211.43,-447.27,-61.829,32.410,-120.728,-344.84,224.20,-804.14,76.00
389.16,-213.87,-433.59,-62.012,30.273,-120.239,-340.14,244.54,-796.59,76.00
390.14,-212.89,-416.02,-54.504,25.391,-122.559,-347.97,255.49,-795.09,76.00
380.86,-250.00,-433.11,-62.195,20.691,-123.535,-347.97,255.49,-792.07,76.00
410.64,-231.45,-3
